time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6193.776797	327.663452	1.381988	-0.015825	121
6195.842851	327.355347	1.381986	-0.012518	123
6197.904851	326.489288	1.384362	-0.010098	125
6199.965441	325.467194	1.376614	-0.006597	127
6202.031311	325.391785	1.365336	-0.000987	129
6204.106127	326.791199	1.361602	0.004740	131
6206.182313	327.852020	1.365070	0.007341	133
6208.249566	327.312836	1.371546	0.008160	135
6210.308978	326.075500	1.371578	0.010577	137
6212.370214	325.519928	1.360207	0.015663	139
6214.438564	325.960297	1.353924	0.020580	141
6216.512301	326.708038	1.353551	0.024002	143
6218.586023	327.040314	1.353386	0.027211	145
6220.656841	326.817657	1.352741	0.030800	147
6222.725209	326.391479	1.350023	0.034432	149
6224.792557	326.035858	1.348523	0.038312	151
6226.860170	325.782501	1.345482	0.041959	153
6228.928240	325.550323	1.343039	0.045402	155
6230.996033	325.422913	1.343257	0.049130	157
6233.062343	325.609528	1.349750	0.053373	159
6235.125747	326.421600	1.353145	0.057617	161
6237.187186	327.537598	1.351102	0.061662	163
6239.250388	328.397797	1.341684	0.064635	165
6241.318689	328.231506	1.332139	0.066221	167
6243.392565	326.866455	1.328137	0.067910	169
6245.467310	325.272339	1.327946	0.071377	171
6247.537483	324.795410	1.335700	0.076471	173
6249.601162	326.007660	1.343379	0.080800	175
6251.661965	327.696289	1.340617	0.083870	177
6253.724693	328.590057	1.331438	0.086465	179
6255.790922	328.701355	1.322888	0.088417	181
6257.859778	328.353180	1.318337	0.090561	183
6259.929286	327.988708	1.317163	0.093131	185
6261.998454	327.634735	1.315847	0.095487	187
6264.066572	327.559326	1.314716	0.098008	189
6266.133844	327.595490	1.315171	0.100767	191
6268.199978	327.805054	1.314486	0.103238	193
6270.265527	327.966034	1.314113	0.105377	195
6272.331410	328.081543	1.311151	0.107635	197
6274.399255	328.078369	1.307348	0.110066	199
6276.470489	327.923798	1.305507	0.112603	201
6278.544366	327.665192	1.305734	0.115618	203
