time (s)	magX	magY	magZ
6193.979010	240.246628	-142.052017	-175.383392
6193.982378	236.623016	-139.597305	-168.019287
6193.985678	233.291641	-137.902405	-161.122726
6193.989033	228.791351	-136.090591	-154.459961
6193.992343	225.050842	-134.103455	-148.907654
6193.996101	221.836349	-131.940979	-142.595551
6193.999438	217.978943	-129.252487	-136.225006
6194.002769	214.121567	-127.499115	-131.257156
6194.006097	210.673279	-125.219749	-125.237297
6194.009443	207.283463	-123.641724	-121.087669
6194.012771	203.367615	-121.596146	-115.476921
6194.016130	199.919342	-119.492111	-111.035072
6194.019472	197.523071	-117.914085	-106.300995
6194.022775	194.191696	-116.160721	-101.333138
6194.026090	190.392746	-114.290474	-97.125076
6194.029851	187.236694	-112.653999	-93.852135
6194.033187	184.548203	-111.309761	-90.637642
6194.036535	181.216827	-109.030388	-86.546463
6194.039875	178.236115	-106.984802	-83.916420
6194.043270	175.255402	-105.582115	-79.942139
6194.046582	172.391571	-103.711861	-77.253654
6194.049899	169.936874	-102.075394	-73.571594
6194.053180	167.482162	-100.964928	-70.883110
6194.056517	164.326111	-99.211571	-68.603737
6194.059877	161.520737	-97.575104	-64.746346
6194.063227	159.241379	-96.347748	-63.051437
6194.066614	156.786667	-94.652832	-61.239624
6194.070348	154.331970	-93.600815	-58.609581
6194.073679	151.877258	-92.665695	-56.096436
6194.077106	149.539444	-91.555229	-54.109299
6194.080393	147.260086	-90.094093	-51.771484
6194.083754	145.331375	-88.983635	-49.199883
6194.087094	143.987137	-87.347168	-48.440094
6194.090398	141.415543	-86.412041	-46.160721
6194.093730	139.019287	-85.243134	-44.232033
6194.097062	137.441269	-83.723557	-42.478668
6194.100352	135.746353	-82.379311	-40.900642
6194.103688	134.518997	-81.444183	-39.790176
6194.107045	131.713608	-80.742844	-38.095268
6194.110425	130.135590	-79.983047	-36.809464
6194.114190	128.849792	-79.164810	-35.523666
6194.117570	126.979546	-78.346581	-34.237869
6194.120857	125.459969	-76.943893	-33.127411
6194.124175	124.524849	-76.067207	-31.490942
6194.127545	122.537697	-75.365868	-30.322035
6194.130847	121.310341	-74.430740	-29.503801
6194.134180	120.258324	-73.495613	-28.510229
6194.137455	118.972527	-73.144943	-28.276449
6194.140790	117.160728	-71.859146	-26.698420
6194.144557	116.517822	-71.391586	-25.646406
6194.147865	114.647575	-70.807129	-25.412622
6194.151233	113.887787	-69.988899	-24.126825
6194.154564	112.485092	-69.287552	-23.133257
6194.157847	111.082405	-68.703094	-23.250147
6194.161184	109.504387	-67.943306	-22.198130
6194.164454	109.036819	-67.358856	-21.789015
6194.167748	107.984810	-66.482170	-20.912333
6194.171539	107.283463	-65.663940	-20.444769
6194.174872	105.880775	-65.021042	-19.743425
6194.178192	104.653419	-64.728813	-18.983633
6194.181517	104.711868	-64.319695	-18.399181
6194.184828	103.542953	-63.443016	-17.931618
6194.188142	103.659843	-63.501457	-17.405609
6194.191419	102.257156	-62.332558	-16.938047
6194.194771	100.737579	-62.741669	-16.528931
6194.198134	100.854469	-62.215660	-15.944477
6194.201873	100.036232	-62.040329	-15.418468
6194.205209	99.744011	-61.572762	-15.418468
6194.208467	99.218002	-61.338982	-14.834015
6194.211813	97.581535	-61.105202	-15.184687
6194.215108	97.464638	-60.462303	-14.308008
6194.218451	97.055527	-60.403854	-14.191116
6194.221830	96.237289	-59.877846	-13.840445
6194.225155	96.471077	-59.644066	-12.320866
6194.228965	95.945061	-59.293396	-13.080656
6194.232318	95.243721	-58.884277	-13.197546
6194.235655	95.419060	-58.708939	-12.846874
6194.238981	95.009933	-58.884277	-11.853302
6194.242317	94.074814	-58.767387	-11.794857
6194.245649	93.665688	-58.066040	-11.794857
6194.249000	93.899475	-58.592049	-11.970192
6194.252314	93.841026	-58.066040	-10.918177
6194.255651	93.431908	-57.949150	-10.918177
6194.258982	93.081238	-58.475159	-11.327293
6194.262345	92.964348	-58.241379	-10.625950
6194.265644	92.905907	-58.066040	-11.327293
6194.268979	93.081238	-57.481590	-11.035067
6194.272317	92.672127	-58.124489	-10.742840
6194.276075	92.321449	-57.130917	-10.801285
6194.279412	91.912331	-57.949150	-10.275278
6194.282733	92.321449	-57.715370	-10.509060
6194.286086	92.496788	-57.423141	-11.502630
6194.289405	92.496788	-57.540031	-11.035067
6194.292774	91.912331	-57.540031	-11.268848
6194.296090	92.672127	-57.364700	-10.801285
6194.299427	92.146111	-58.124489	-10.976622
6194.302759	93.081238	-57.656925	-10.625950
6194.306063	92.847458	-57.832260	-11.444185
6194.309406	92.496788	-57.890705	-11.853302
6194.313160	93.081238	-57.890705	-11.210403
6194.316508	92.847458	-58.416714	-11.444185
6194.319842	93.548798	-58.182930	-11.736410
6194.323178	93.841026	-58.592049	-12.496202
6194.326610	93.782585	-58.942722	-11.911747
6194.329922	93.782585	-58.884277	-11.736410
6194.333164	94.659264	-58.767387	-12.496202
6194.336527	94.659264	-59.118057	-12.496202
6194.339817	95.009933	-59.702511	-12.554647
6194.343180	95.594391	-59.234947	-13.197546
6194.346532	95.886620	-59.702511	-13.782000
6194.349913	95.652840	-60.170074	-12.905319
6194.353643	96.587967	-60.696083	-12.671537
6194.356932	97.230858	-60.988312	-13.139101
6194.360297	97.523087	-61.397430	-14.074226
6194.363604	98.224434	-61.864990	-14.541788
