crossing time (s)	slope (V/s)	crossing number
7226.827687	-5.475268	5721
7227.831791	-5.516950	5722
7228.897201	-5.494422	5723
7229.906255	-5.636875	5724
7230.953702	-5.120849	5725
7231.984966	-5.770191	5726
7233.012014	-5.536629	5727
7234.055902	-5.860006	5728
7235.082010	-5.876495	5729
7236.116005	-5.650409	5730
7237.159172	-5.929286	5731
7238.172148	-5.627127	5732
7239.230976	-5.541373	5733
7240.236341	-5.942990	5734
7241.295005	-5.382671	5735
7242.310656	-5.980190	5736
7243.357419	-5.291590	5737
7244.386709	-5.791760	5738
7245.418451	-5.200164	5739
7246.460025	-5.565524	5740
7247.483432	-5.284547	5741
7248.529252	-5.627840	5742
7249.550169	-5.575733	5743
7250.594970	-5.686084	5744
7251.617338	-5.761053	5745
7252.660719	-5.603471	5746
7253.684145	-5.697848	5747
7254.728943	-5.526605	5748
7255.752455	-5.592527	5749
7256.799415	-5.615752	5750
7257.820433	-5.569467	5751
7258.865681	-5.813105	5752
7259.887318	-5.509480	5753
7260.929786	-5.838184	5754
7261.957867	-5.234042	5755
7262.992666	-5.876689	5756
7264.033894	-5.171939	5757
7265.052604	-5.969228	5758
7266.109096	-5.264073	5759
7267.113548	-5.776884	5760
7268.179598	-5.490767	5761
7269.183750	-5.425432	5762
7270.239876	-5.737318	5763
7271.258939	-5.296972	5764
7272.296432	-5.613138	5765
7273.336365	-5.338882	5766
7274.359260	-5.475407	5767
7275.404528	-5.689790	5768
7276.429305	-5.151504	5769
7277.465575	-5.768000	5770
7278.507144	-5.008645	5771
7279.524360	-5.713083	5772
7280.581827	-5.172311	5773
7281.586705	-5.651049	5774
7282.651695	-5.278684	5775
7283.652880	-5.399694	5776
7284.718597	-5.433504	5777
7285.723489	-5.302124	5778
7286.782948	-5.584414	5779
7287.793377	-5.255623	5780
7288.846537	-5.541420	5781
7289.863361	-5.190128	5782
7290.912593	-5.540829	5783
7291.931841	-5.190960	5784
7292.978916	-5.574341	5785
7293.999408	-5.207448	5786
7295.047683	-5.578413	5787
7296.064491	-5.315276	5788
7297.117095	-5.517957	5789
7298.129156	-5.356683	5790
7299.188043	-5.471075	5791
7300.193775	-5.378589	5792
7301.257746	-5.441986	5793
7302.259850	-5.418712	5794
7303.325151	-5.311685	5795
7304.328734	-5.490889	5796
7305.388466	-5.110707	5797
7306.402280	-5.559938	5798
7307.449116	-5.128428	5799
